factor,value,category,n,seeds,notes,train_loss_mean,train_loss_std,extraction_success_rate_mean,extraction_success_rate_std,avg_exposure_mean,avg_exposure_std,mia_auc_loss_mean,mia_auc_loss_std,mia_auc_neighbourhood_mean,mia_auc_neighbourhood_std,mia_roc_tpr_1e-3_loss_mean,mia_roc_tpr_1e-3_loss_std,mia_roc_tpr_1e-4_loss_mean,mia_roc_tpr_1e-4_loss_std,mia_roc_tpr_1e-3_neighbourhood_mean,mia_roc_tpr_1e-3_neighbourhood_std,mia_roc_tpr_1e-4_neighbourhood_mean,mia_roc_tpr_1e-4_neighbourhood_std,mia_val_tpr_1e-3_loss_mean,mia_val_tpr_1e-3_loss_std,mia_val_tpr_1e-4_loss_mean,mia_val_tpr_1e-4_loss_std,mia_val_tpr_1e-3_neighbourhood_mean,mia_val_tpr_1e-3_neighbourhood_std,mia_val_tpr_1e-4_neighbourhood_mean,mia_val_tpr_1e-4_neighbourhood_std
num_canaries,50,ablation,1,0,主消融,2.3736726687504697,0.0,0.0,0.0,2.0695333058228114,0.0,0.5084389698134925,0.0,0.5219419732568623,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_reference,1000,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.7117380586659805,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_reference,2000,ablation,1,0,评估消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_reference,500,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.7688366968431297,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_samples_per_prefix,100,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_samples_per_prefix,20,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
num_samples_per_prefix,50,ablation,1,0,评估消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_modules,qkvo,ablation,1,0,补充消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
target_modules,qv,ablation,1,0,补充消融,2.706020396991368,0.0,0.0,0.0,1.560892813670944,0.0,0.5021420579832936,0.0,0.517072375924658,0.0,0.0,0.0,0.0,0.0,0.0010362694300518134,0.0,0.0010362694300518134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature_top_p,t0.7_p0.9,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature_top_p,t0.9_p0.95,ablation,1,0,评估消融基线值,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
temperature_top_p,t1.0_p0.95,ablation,1,0,评估消融,2.6381317194360885,0.0,0.0,0.0,1.6609825235608724,0.0,0.5109003812689414,0.0,0.5205168312314661,0.0,0.0,0.0,0.0,0.0,0.002072538860103627,0.0,0.002072538860103627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
